station,adjacent,line
U-Bahnhof Nollendorfplatz,U-Bahnhof Bülowstraße,U4
U-Bahnhof Nollendorfplatz,U-Bahnhof Kurfürstenstraße,U4
U-Bahnhof Nollendorfplatz,U-Bahnhof Wittenbergplatz,U4
U-Bahnhof Kleistpark,Bahnhof Berlin Yorckstraße,U7
U-Bahnhof Kleistpark,U-Bahnhof Eisenacher Straße,U7
U-Bahnhof Kleistpark,U-Bahnhof Yorckstraße,U7
U-Bahnhof Eisenacher Straße,U-Bahnhof Kleistpark,U7
U-Bahnhof Eisenacher Straße,U-Bahnhof Bayerischer Platz,U7
U-Bahnhof Podbielskiallee,U-Bahnhof Breitenbachplatz,U3
U-Bahnhof Podbielskiallee,U-Bahnhof Dahlem-Dorf,U3
U-Bahnhof Freie Universität (Thielplatz),U-Bahnhof Dahlem-Dorf,U3
U-Bahnhof Freie Universität (Thielplatz),U-Bahnhof Oskar-Helene-Heim,U3
U-Bahnhof Breitenbachplatz,U-Bahnhof Rüdesheimer Platz,U3
U-Bahnhof Breitenbachplatz,U-Bahnhof Podbielskiallee,U3
U-Bahnhof Pankstraße,U-Bahnhof Osloer Straße,U8
U-Bahnhof Pankstraße,Bahnhof Berlin Gesundbrunnen,U8
U-Bahnhof Eberswalder Straße,Bahnhof Schönhauser Allee,U2
U-Bahnhof Eberswalder Straße,U-Bahnhof Senefelderplatz,U2
U-Bahnhof Mierendorffplatz,Bahnhof Berlin Jungfernheide,U7
U-Bahnhof Mierendorffplatz,U-Bahnhof Richard-Wagner-Platz,U7
U-Bahnhof Mierendorffplatz,U-Bahnhof Jungfernheide,U7
U-Bahnhof Blissestraße,U-Bahnhof Berliner Straße,U7
U-Bahnhof Blissestraße,U-Bahnhof Fehrbelliner Platz (U7),U7
U-Bahnhof Turmstraße,U-Bahnhof Hansaplatz,U9
U-Bahnhof Turmstraße,U-Bahnhof Birkenstraße,U9
U-Bahnhof Altstadt Spandau,U-Bahnhof Rathaus Spandau,U7
U-Bahnhof Altstadt Spandau,U-Bahnhof Zitadelle,U7
Bahnhof Schönhauser Allee,U-Bahnhof Vinetastraße,U2
Bahnhof Schönhauser Allee,U-Bahnhof Eberswalder Straße,U2
Bahnhof Schönhauser Allee,Bahnhof Berlin Gesundbrunnen,U2
Bahnhof Schönhauser Allee,S-Bahnhof Prenzlauer Allee,U2
Bahnhof Schönhauser Allee,S-Bahnhof Bornholmer Straße,U2
Bahnhof Berlin-Tempelhof,Bahnhof Berlin Südkreuz,U6
Bahnhof Berlin-Tempelhof,U-Bahnhof Paradestraße,U6
Bahnhof Berlin-Tempelhof,U-Bahnhof Alt-Tempelhof,U6
Bahnhof Berlin-Tempelhof,Bahnhof Berlin Hermannstraße,U6
U-Bahnhof Lipschitzallee,U-Bahnhof Wutzkyallee,U7
U-Bahnhof Lipschitzallee,U-Bahnhof Johannisthaler Chaussee,U7
U-Bahnhof Französische Straße,U-Bahnhof Stadtmitte,U6
U-Bahnhof Französische Straße,U-Bahnhof Friedrichstraße,U6
U-Bahnhof Oranienburger Tor,U-Bahnhof Naturkundemuseum,U6
U-Bahnhof Oranienburger Tor,U-Bahnhof Friedrichstraße,U6
U-Bahnhof Güntzelstraße,U-Bahnhof Berliner Straße,U9
U-Bahnhof Hauptbahnhof,U-Bahnhof Bundestag,U55
Bahnhof Berlin Innsbrucker Platz,Bahnhöfe Berlin Bundesplatz,U4
Bahnhof Berlin Innsbrucker Platz,Bahnhof Berlin-Schöneberg,U4
Bahnhof Berlin Innsbrucker Platz,U-Bahnhof Rathaus Schöneberg,U4
Bahnhof Berlin Innsbrucker Platz,Bahnhof Berlin Bundesplatz,U4
U-Bahnhof Yorckstraße,U-Bahnhof Kleistpark,U7
U-Bahnhof Yorckstraße,U-Bahnhof Möckernbrücke,U7
U-Bahnhof Heidelberger Platz,U-Bahnhof Rüdesheimer Platz,U3
U-Bahnhof Heidelberger Platz,Bahnhöfe Berlin Bundesplatz,U3
U-Bahnhof Heidelberger Platz,Bahnhof Berlin Hohenzollerndamm,U3
U-Bahnhof Heidelberger Platz,U-Bahnhof Fehrbelliner Platz (U3),U3
U-Bahnhof Heidelberger Platz,U-Bahnhof Rüdesheimer Platz,Berliner Ringbahn
U-Bahnhof Heidelberger Platz,Bahnhöfe Berlin Bundesplatz,Berliner Ringbahn
U-Bahnhof Heidelberger Platz,Bahnhof Berlin Hohenzollerndamm,Berliner Ringbahn
U-Bahnhof Heidelberger Platz,U-Bahnhof Fehrbelliner Platz (U3),Berliner Ringbahn
U-Bahnhof Bundesplatz,U-Bahnhof Friedrich-Wilhelm-Platz,U9
U-Bahnhof Bundesplatz,U-Bahnhof Berliner Straße,U9
U-Bahnhof Jungfernheide,U-Bahnhof Mierendorffplatz,U7
U-Bahnhof Jungfernheide,U-Bahnhof Jakob-Kaiser-Platz,U7
U-Bahnhof Warschauer Straße,U-Bahnhof Schlesisches Tor,U1
U-Bahnhof Jannowitzbrücke,U-Bahnhof Heinrich-Heine-Straße,U8
U-Bahnhof Jannowitzbrücke,Bahnhof Berlin-Alexanderplatz,U8
U-Bahnhof Wittenau,U-Bahnhof Rathaus Reinickendorf,U8
U-Bahnhof Senefelderplatz,U-Bahnhof Eberswalder Straße,U2
U-Bahnhof Senefelderplatz,U-Bahnhof Rosa-Luxemburg-Platz,U2
U-Bahnhof Friedrichstraße,U-Bahnhof Oranienburger Tor,
U-Bahnhof Potsdamer Platz,U-Bahnhof Mohrenstraße,
U-Bahnhof Potsdamer Platz,U-Bahnhof Mendelssohn-Bartholdy-Park,
U-Bahnhof Frankfurter Allee,U-Bahnhof Magdalenenstraße,
U-Bahnhof Frankfurter Allee,U-Bahnhof Samariterstraße,
U-Bahnhof Gesundbrunnen,U-Bahnhof Pankstraße,
U-Bahnhof Gesundbrunnen,U-Bahnhof Voltastraße,
U-Bahnhof Innsbrucker Platz,U-Bahnhof Rathaus Schöneberg,
U-Bahnhof Karl-Bonhoeffer-Nervenklinik,U-Bahnhof Rathaus Reinickendorf,
U-Bahnhof Karl-Bonhoeffer-Nervenklinik,U-Bahnhof Lindauer Allee,
U-Bahnhof Potsdamer Platz,U-Bahnhof Mohrenstraße,
U-Bahnhof Potsdamer Platz,U-Bahnhof Mendelssohn-Bartholdy-Park,
U-Bahnhof Rathaus Steglitz,U-Bahnhof Schloßstraße,
U-Bahnhof Westhafen,U-Bahnhof Schillingstraße,
U-Bahnhof Westhafen,U-Bahnhof Birkenstraße,
U-Bahnhof Westhafen,U-Bahnhof Amrumer Straße,
U-Bahnhof Westhafen,U-Bahnhof Klosterstraße,
U-Bahnhof Westhafen,U-Bahnhof Rosa-Luxemburg-Platz,
U-Bahnhof Westhafen,U-Bahnhof Weinmeisterstraße,
U-Bahnhof Westhafen,U-Bahnhof Jannowitzbrücke,
U-Bahnhof Tempelhof,U-Bahnhof Paradestraße,
U-Bahnhof Tempelhof,U-Bahnhof Alt-Tempelhof,
U-Bahnhof Wedding,U-Bahnhof Reinickendorfer Straße,
U-Bahnhof Wedding,U-Bahnhof Leopoldplatz,
U-Bahnhof Brandenburger Tor,U-Bahnhof Bundestag,
U-Bahnhof Pankow,U-Bahnhof Vinetastraße,
U-Bahnhof Schönhauser Allee,U-Bahnhof Vinetastraße,
U-Bahnhof Schönhauser Allee,U-Bahnhof Eberswalder Straße,
U-Bahnhof Wuhletal,U-Bahnhof Elsterwerdaer Platz,
U-Bahnhof Wuhletal,U-Bahnhof Kaulsdorf-Nord,
U-Bahnhof Warschauer Straße,U-Bahnhof Schlesisches Tor,
U-Bahnhof Neukölln,U-Bahnhof Karl-Marx-Straße,
U-Bahnhof Neukölln,U-Bahnhof Grenzallee,
U-Bahnhof Hallesches Tor,U-Bahnhof Möckernbrücke,U6
U-Bahnhof Ernst-Reuter-Platz,Bahnhof Berlin Zoologischer Garten,U2
U-Bahnhof Ernst-Reuter-Platz,U-Bahnhof Deutsche Oper,U2
U-Bahnhof Mohrenstraße,U-Bahnhof Stadtmitte,U2
U-Bahnhof Mohrenstraße,U-Bahnhof Potsdamer Platz,U2
U-Bahnhof Mendelssohn-Bartholdy-Park,U-Bahnhof Gleisdreieck,U2
U-Bahnhof Mendelssohn-Bartholdy-Park,U-Bahnhof Potsdamer Platz,U2
U-Bahnhof Rosa-Luxemburg-Platz,Bahnhof Berlin-Alexanderplatz,U2
U-Bahnhof Rosa-Luxemburg-Platz,U-Bahnhof Senefelderplatz,U2
U-Bahnhof Hermannplatz,U-Bahnhof Rathaus Neukölln,U7
U-Bahnhof Hermannplatz,U-Bahnhof Südstern,U7
U-Bahnhof Hermannplatz,U-Bahnhof Schönleinstraße,U7
U-Bahnhof Hermannplatz,U-Bahnhof Boddinstraße,U7
U-Bahnhof Hermannplatz,U-Bahnhof Rathaus Neukölln,U8
U-Bahnhof Hermannplatz,U-Bahnhof Südstern,U8
U-Bahnhof Hermannplatz,U-Bahnhof Schönleinstraße,U8
U-Bahnhof Hermannplatz,U-Bahnhof Boddinstraße,U8
U-Bahnhof Rudow,U-Bahnhof Zwickauer Damm,U7
U-Bahnhof Stadtmitte,U-Bahnhof Kochstraße,U2
U-Bahnhof Stadtmitte,U-Bahnhof Französische Straße,U2
U-Bahnhof Stadtmitte,U-Bahnhof Hausvogteiplatz,U2
U-Bahnhof Stadtmitte,U-Bahnhof Mohrenstraße,U2
U-Bahnhof Stadtmitte,U-Bahnhof Kochstraße,U6
U-Bahnhof Stadtmitte,U-Bahnhof Französische Straße,U6
U-Bahnhof Stadtmitte,U-Bahnhof Hausvogteiplatz,U6
U-Bahnhof Stadtmitte,U-Bahnhof Mohrenstraße,U6
U-Bahnhof Weinmeisterstraße,U-Bahnhof Rosenthaler Platz,U8
U-Bahnhof Weinmeisterstraße,Bahnhof Berlin-Alexanderplatz,U8
U-Bahnhof Richard-Wagner-Platz,U-Bahnhof Mierendorffplatz,U7
U-Bahnhof Richard-Wagner-Platz,U-Bahnhof Bismarckstraße,U7
U-Bahnhof Osloer Straße,U-Bahnhof Nauener Platz,U8
U-Bahnhof Osloer Straße,U-Bahnhof Franz-Neumann-Platz (Am Schäfersee),U8
U-Bahnhof Osloer Straße,U-Bahnhof Pankstraße,U8
U-Bahnhof Osloer Straße,U-Bahnhof Nauener Platz,U9
U-Bahnhof Osloer Straße,U-Bahnhof Franz-Neumann-Platz (Am Schäfersee),U9
U-Bahnhof Osloer Straße,U-Bahnhof Pankstraße,U9
U-Bahnhof Wittenbergplatz,U-Bahnhof Kurfürstendamm,U3
U-Bahnhof Wittenbergplatz,U-Bahnhof Augsburger Straße,U3
U-Bahnhof Wittenbergplatz,Bahnhof Berlin Zoologischer Garten,U3
U-Bahnhof Bundestag,Bahnhof Brandenburger Tor,U55
U-Bahnhof Bundestag,U-Bahnhof Hauptbahnhof,U55
Bahnhof Berlin-Alexanderplatz,U-Bahnhof Schillingstraße,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,U-Bahnhof Klosterstraße,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,U-Bahnhof Rosa-Luxemburg-Platz,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,U-Bahnhof Weinmeisterstraße,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,Berlin Ostbahnhof,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,Bahnhof Berlin Hackescher Markt,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,Bahnhof Berlin-Friedrichstraße,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,Bahnhof Berlin Jannowitzbrücke,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,U-Bahnhof Jannowitzbrücke,Berliner Stadtbahn
Bahnhof Berlin-Alexanderplatz,S-Bahnhof Jannowitzbrücke,Berliner Stadtbahn
U-Bahnhof Möckernbrücke,Bahnhof Berlin Yorckstraße,U1
U-Bahnhof Möckernbrücke,U-Bahnhof Mehringdamm,U1
U-Bahnhof Möckernbrücke,U-Bahnhof Hallesches Tor,U1
U-Bahnhof Möckernbrücke,U-Bahnhof Gleisdreieck,U1
U-Bahnhof Möckernbrücke,U-Bahnhof Yorckstraße,U1
U-Bahnhof Möckernbrücke,Bahnhof Berlin Yorckstraße,U7
U-Bahnhof Möckernbrücke,U-Bahnhof Mehringdamm,U7
U-Bahnhof Möckernbrücke,U-Bahnhof Hallesches Tor,U7
U-Bahnhof Möckernbrücke,U-Bahnhof Gleisdreieck,U7
U-Bahnhof Möckernbrücke,U-Bahnhof Yorckstraße,U7
U-Bahnhof Boddinstraße,U-Bahnhof Hermannplatz,U8
U-Bahnhof Boddinstraße,U-Bahnhof Leinestraße,U8
U-Bahnhof Kottbusser Tor,U-Bahnhof Moritzplatz,U1
U-Bahnhof Kottbusser Tor,U-Bahnhof Görlitzer Bahnhof,U1
U-Bahnhof Kottbusser Tor,U-Bahnhof Schönleinstraße,U1
U-Bahnhof Kottbusser Tor,U-Bahnhof Prinzenstraße,U1
U-Bahnhof Kottbusser Tor,U-Bahnhof Moritzplatz,U8
U-Bahnhof Kottbusser Tor,U-Bahnhof Görlitzer Bahnhof,U8
U-Bahnhof Kottbusser Tor,U-Bahnhof Schönleinstraße,U8
U-Bahnhof Kottbusser Tor,U-Bahnhof Prinzenstraße,U8
U-Bahnhof Deutsche Oper,U-Bahnhof Ernst-Reuter-Platz,U2
U-Bahnhof Deutsche Oper,U-Bahnhof Bismarckstraße,U2
U-Bahnhof Leopoldplatz,U-Bahnhof Seestraße,U6
U-Bahnhof Leopoldplatz,U-Bahnhof Nauener Platz,U6
U-Bahnhof Leopoldplatz,U-Bahnhof Amrumer Straße,U6
U-Bahnhof Leopoldplatz,U-Bahnhof Wedding,U6
U-Bahnhof Leopoldplatz,U-Bahnhof Seestraße,U9
U-Bahnhof Leopoldplatz,U-Bahnhof Nauener Platz,U9
U-Bahnhof Leopoldplatz,U-Bahnhof Amrumer Straße,U9
U-Bahnhof Leopoldplatz,U-Bahnhof Wedding,U9
U-Bahnhof Güntzelstraße,U-Bahnhof Spichernstraße,U9
U-Bahnhof Hohenzollernplatz,U-Bahnhof Spichernstraße,U3
U-Bahnhof Hohenzollernplatz,U-Bahnhof Fehrbelliner Platz (U3),U3
U-Bahnhof Hellersdorf,U-Bahnhof Cottbusser Platz,
U-Bahnhof Hellersdorf,U-Bahnhof Louis-Lewin-Straße,
U-Bahnhof Grenzallee,S-Bahnhof Neukölln,U7
U-Bahnhof Grenzallee,U-Bahnhof Blaschkoallee,U7
